locality,canton
Montagne-de-Sonvilier,Berne
Moosseedorf,Berne
Moutier,Berne
Muri b. Bern,Berne
Murzelen,Berne
Mörigen,Berne
Mötschwil,Berne
Mühleberg,Berne
Mühledorf BE,Berne
Mühlethurnen,Berne
Mülchi,Berne
Mülenen,Berne
Münchenbuchsee,Berne
Münchenwiler,Berne
Münchringen,Berne
Münsingen,Berne
Müntschemier,Berne
Mürren,Berne
Neuenegg,Berne
Nidau,Berne
Niederbipp,Berne
Niederhünigen,Berne
Niedermuhlern,Berne
Niederried b. Interlaken,Berne
Niederried b. Kallnach,Berne
Niederscherli,Berne
Niederstocken,Berne
Niederwangen b. Bern,Berne
Niederönz,Berne
Niederösch,Berne
Nods,Berne
Noflen BE,Berne
Oberbalm,Berne
Oberbipp,Berne
Oberburg,Berne
Oberbütschel,Berne
Oberdiessbach,Berne
Oberfrittenbach,Berne
Obergoldbach,Berne
Oberhofen am Thunersee,Berne
Oberhünigen,Berne
Oberried am Brienzersee,Berne
Obersteckholz,Berne
Oberstocken,Berne
Oberthal,Berne
Oberwangen b. Bern,Berne
Oberwil b. Büren,Berne
Oberwil im Simmental,Berne
Oberönz,Berne
Oberösch,Berne
Ochlenberg,Berne
Oeschenbach,Berne
Oeschseite,Berne
Oey,Berne
Oppligen,Berne
Orpund,Berne
Ortschwaben,Berne
Orvin,Berne
Oschwand,Berne
Ostermundigen,Berne
Perrefitte,Berne
Pieterlen,Berne
Plagne,Berne
Pohlern,Berne
Pontenet,Berne
Port,Berne
Prêles,Berne
Péry,Berne
Radelfingen b. Aarberg,Berne
Ramsei,Berne
Ranflüh,Berne
Rapperswil BE,Berne
Rebévelier,Berne
Reconvilier,Berne
Reichenbach im Kandertal,Berne
Reisiswil,Berne
Renan BE,Berne
Reutigen,Berne
Richigen,Berne
Ried (Frutigen),Berne
Riedstätt,Berne
Riedtwil,Berne
Riffenmatt,Berne
Riggisberg,Berne
Ringgenberg BE,Berne
Ringoldswil,Berne
Rizenbach,Berne
Roches BE,Berne
Roggwil BE,Berne
Rohrbach,Berne
Rohrbachgraben,Berne
Romont BE,Berne
Rosenlaui,Berne
Rosshäusern,Berne
Rubigen,Berne
Rumendingen,Berne
Rumisberg,Berne
Ruppoldsried,Berne
Röthenbach Herzogenbuchsee,Berne
Röthenbach im Emmental,Berne
Rüderswil,Berne
Rüdtligen,Berne
Rüedisbach,Berne
